TRACKINGNUMBER,INSPECTIONDATE,INSPTYPE,NUMCRITICAL,NUMNONCRITICAL,HAZARDRATING,VIOLLUMP
SDFO-88ESVK,20190109,Routine,0,3,Low,"306,Not Critical,Food premises not maintained in a sanitary condition [s. 17(1)],Not Repeat|308,Not Critical,Equipment/utensils/food contact surfaces are not in good working order [s. 16(b)],Not Repeat|311,Not Critical,Premises not maintained as per approved plans [s. 6(1)(b)],Not Repeat"
SDFO-88ESVK,20180813,Routine,0,3,Low,"306,Not Critical,Food premises not maintained in a sanitary condition [s. 17(1)],Not Repeat|307,Not Critical,Equipment/utensils/food contact surfaces are not of suitable design/material [s. 16; s. 19],Not Repeat|311,Not Critical,Premises not maintained as per approved plans [s. 6(1)(b)],Not Repeat"
SDFO-88ESVK,20180103,Routine,0,0,Low,
SDFO-88ESVK,20170719,Routine,0,1,Low,"308,Not Critical,Equipment/utensils/food contact surfaces are not in good working order [s. 16(b)],Not Repeat"
SDFO-88ESVK,20170210,Routine,0,1,Low,"308,Not Critical,Equipment/utensils/food contact surfaces are not in good working order [s. 16(b)],Not Repeat"
SDFO-88ESVK,20160913,Routine,0,1,Low,"209,Not Critical,Food not protected from contamination [s. 12(a)],Not Repeat"
NDAA-8RNNVR,20191021,Routine,0,0,Low,
NDAA-8RNNVR,20190426,Follow-Up,0,0,Low,
NDAA-8RNNVR,20190412,Routine,0,2,Moderate,"306,Not Critical,Food premises not maintained in a sanitary condition [s. 17(1)],Not Repeat|308,Not Critical,Equipment/utensils/food contact surfaces are not in good working order [s. 16(b)],Not Repeat"
NDAA-8RNNVR,20181017,Routine,0,0,Low,
NDAA-8RNNVR,20180418,Follow-Up,0,0,Low,
NDAA-8RNNVR,20180409,Routine,1,4,Low,"210,Not Critical,Food not thawed in an acceptable manner [s. 14(2)],Not Repeat|301,Critical,Equipment/utensils/food contact surfaces not maintained in sanitary condition [s. 17(1)],Not Repeat|306,Not Critical,Food premises not maintained in a sanitary condition [s. 17(1)],Not Repeat|307,Not Critical,Equipment/utensils/food contact surfaces are not of suitable design/material [s. 16; s. 19],Not Repeat|315,Not Critical,Refrigeration units and hot holding equipment lack accurate thermometers [s. 19(2)],Not Repeat"
NDAA-8RNNVR,20171010,Follow-Up,0,4,Low,"209,Not Critical,Food not protected from contamination [s. 12(a)],Not Repeat|306,Not Critical,Food premises not maintained in a sanitary condition [s. 17(1)],Not Repeat|311,Not Critical,Premises not maintained as per approved plans [s. 6(1)(b)],Not Repeat|315,Not Critical,Refrigeration units and hot holding equipment lack accurate thermometers [s. 19(2)],Not Repeat"
NDAA-8RNNVR,20170908,Follow-Up,0,1,Low,"306,Not Critical,Food premises not maintained in a sanitary condition [s. 17(1)],Not Repeat"
NDAA-8RNNVR,20170905,Routine,2,2,High,"302,Critical,Equipment/utensils/food contact surfaces not properly washed and sanitized [s. 17(2)],Not Repeat|305,Not Critical,Conditions observed that may allow entrance/harbouring/breeding of pests [s. 26(b),(c)],Not Repeat|306,Not Critical,Food premises not maintained in a sanitary condition [s. 17(1)],Not Repeat|401,Critical,Adequate handwashing stations not available for employees [s. 21(4)],Not Repeat"
NDAA-8RNNVR,20170412,Follow-Up,0,0,Low,
NDAA-8RNNVR,20170411,Routine,1,2,Low,"303,Critical,Equipment/facilities/hot & cold water for sanitary maintenance not adequate [s. 17(3); s. 4(1)(f)],Not Repeat|306,Not Critical,Food premises not maintained in a sanitary condition [s. 17(1)],Not Repeat|308,Not Critical,Equipment/utensils/food contact surfaces are not in good working order [s. 16(b)],Not Repeat"
NDAA-8RNNVR,20161005,Follow-Up,0,0,Low,
NDAA-8RNNVR,20160816,Routine,2,1,Moderate,"301,Critical,Equipment/utensils/food contact surfaces not maintained in sanitary condition [s. 17(1)],Not Repeat|305,Not Critical,Conditions observed that may allow entrance/harbouring/breeding of pests [s. 26(b),(c)],Not Repeat|401,Critical,Adequate handwashing stations not available for employees [s. 21(4)],Not Repeat"
SYOG-5M5942,20190425,Routine,0,2,Low,"304,Not Critical,Premises not free of pests [s. 26(a)],Not Repeat|305,Not Critical,Conditions observed that may allow entrance/harbouring/breeding of pests [s. 26(b),(c)],Not Repeat"
SYOG-5M5942,20181126,Routine,1,1,Low,"306,Not Critical,Food premises not maintained in a sanitary condition [s. 17(1)],Not Repeat|401,Critical,Adequate handwashing stations not available for employees [s. 21(4)],Not Repeat"
SYOG-5M5942,20180502,Routine,0,2,Low,"104,Not Critical,Permit not posted in a conspicuous location [s. 8(7)],Not Repeat|306,Not Critical,Food premises not maintained in a sanitary condition [s. 17(1)],Not Repeat"
SYOG-5M5942,20180214,Follow-Up,0,0,Low,
SYOG-5M5942,20180209,Routine,1,0,Low,"205,Critical,Cold potentially hazardous food stored/displayed above 4 ???C. [s. 14(2)],Not Repeat"
SYOG-5M5942,20170519,Follow-Up,0,0,Low,
SYOG-5M5942,20170508,Routine,0,1,Low,"306,Not Critical,Food premises not maintained in a sanitary condition [s. 17(1)],Not Repeat"
SYOG-5M5942,20161003,Follow-Up,0,0,Low,
SYOG-5M5942,20160930,Follow-Up,1,0,Low,"205,Critical,Cold potentially hazardous food stored/displayed above 4 ???C. [s. 14(2)],Not Repeat"
SYOG-5M5942,20160922,Routine,1,1,Moderate,"205,Critical,Cold potentially hazardous food stored/displayed above 4 ???C. [s. 14(2)],Not Repeat|306,Not Critical,Food premises not maintained in a sanitary condition [s. 17(1)],Not Repeat"
GEDS-6KHW57,20191028,Follow-Up,0,0,Low,
GEDS-6KHW57,20191025,Routine,0,1,Low,"306,Not Critical,Food premises not maintained in a sanitary condition [s. 17(1)],Not Repeat"
GEDS-6KHW57,20190614,Follow-Up,0,0,Low,
GEDS-6KHW57,20190611,Routine,0,1,Low,"308,Not Critical,Equipment/utensils/food contact surfaces are not in good working order [s. 16(b)],Not Repeat"
GEDS-6KHW57,20181015,Routine,0,2,Low,"308,Not Critical,Equipment/utensils/food contact surfaces are not in good working order [s. 16(b)],Not Repeat|501,Not Critical,Operator does not have FOODSAFE Level 1 or Equivalent [s. 10(1)],Not Repeat"
GEDS-6KHW57,20180514,Routine,0,1,Low,"306,Not Critical,Food premises not maintained in a sanitary condition [s. 17(1)],Not Repeat"
GEDS-6KHW57,20171106,Routine,0,1,Low,"306,Not Critical,Food premises not maintained in a sanitary condition [s. 17(1)],Not Repeat"
GEDS-6KHW57,20170619,Follow-Up,0,0,Low,
GEDS-6KHW57,20170616,Routine,1,1,Moderate,"308,Not Critical,Equipment/utensils/food contact surfaces are not in good working order [s. 16(b)],Not Repeat|401,Critical,Adequate handwashing stations not available for employees [s. 21(4)],Not Repeat"
GEDS-6KHW57,20170228,Routine,0,1,Low,"306,Not Critical,Food premises not maintained in a sanitary condition [s. 17(1)],Not Repeat"
GEDS-6KHW57,20161004,Routine,0,2,Low,"209,Not Critical,Food not protected from contamination [s. 12(a)],Not Repeat|306,Not Critical,Food premises not maintained in a sanitary condition [s. 17(1)],Not Repeat"
GEDS-7YZN48,20200428,Routine,1,0,Low,"401,Critical,Adequate handwashing stations not available for employees [s. 21(4)],Not Repeat"
GEDS-7YZN48,20200123,Routine,0,2,Low,"306,Not Critical,Food premises not maintained in a sanitary condition [s. 17(1)],Not Repeat|308,Not Critical,Equipment/utensils/food contact surfaces are not in good working order [s. 16(b)],Not Repeat"
GEDS-7YZN48,20190604,Follow-Up,0,0,Low,
GEDS-7YZN48,20190531,Follow-Up,0,0,Low,
GEDS-7YZN48,20190530,Follow-Up,1,0,Moderate,"201,Critical,Food contaminated or unfit for human consumption [s. 13],Not Repeat"
GEDS-7YZN48,20190528,Routine,2,3,High,"302,Critical,Equipment/utensils/food contact surfaces not properly washed and sanitized [s. 17(2)],Not Repeat|304,Not Critical,Premises not free of pests [s. 26(a)],Not Repeat|305,Not Critical,Conditions observed that may allow entrance/harbouring/breeding of pests [s. 26(b),(c)],Not Repeat|306,Not Critical,Food premises not maintained in a sanitary condition [s. 17(1)],Not Repeat|401,Critical,Adequate handwashing stations not available for employees [s. 21(4)],Not Repeat"
GEDS-7YZN48,20190128,Follow-Up,0,0,Low,
GEDS-7YZN48,20181217,Follow-Up,0,0,Low,
GEDS-7YZN48,20181212,Routine,2,3,Moderate,"301,Critical,Equipment/utensils/food contact surfaces not maintained in sanitary condition [s. 17(1)],Not Repeat|304,Not Critical,Premises not free of pests [s. 26(a)],Not Repeat|305,Not Critical,Conditions observed that may allow entrance/harbouring/breeding of pests [s. 26(b),(c)],Not Repeat|306,Not Critical,Food premises not maintained in a sanitary condition [s. 17(1)],Not Repeat|401,Critical,Adequate handwashing stations not available for employees [s. 21(4)],Not Repeat"
GEDS-7YZN48,20180507,Routine,2,2,Low,"206,Critical,Hot potentially hazardous food stored/displayed below 60 ???C. [s. 14(2)],Not Repeat|302,Critical,Equipment/utensils/food contact surfaces not properly washed and sanitized [s. 17(2)],Not Repeat|306,Not Critical,Food premises not maintained in a sanitary condition [s. 17(1)],Not Repeat|308,Not Critical,Equipment/utensils/food contact surfaces are not in good working order [s. 16(b)],Not Repeat"
GEDS-7YZN48,20171101,Routine,2,1,Low,"302,Critical,Equipment/utensils/food contact surfaces not properly washed and sanitized [s. 17(2)],Not Repeat|306,Not Critical,Food premises not maintained in a sanitary condition [s. 17(1)],Not Repeat|401,Critical,Adequate handwashing stations not available for employees [s. 21(4)],Not Repeat"
GEDS-7YZN48,20170503,Routine,0,2,Low,"306,Not Critical,Food premises not maintained in a sanitary condition [s. 17(1)],Not Repeat|308,Not Critical,Equipment/utensils/food contact surfaces are not in good working order [s. 16(b)],Not Repeat"
GEDS-7YZN48,20161110,Follow-Up,0,0,Low,
GEDS-7YZN48,20161103,Routine,2,2,Moderate,"205,Critical,Cold potentially hazardous food stored/displayed above 4 ???C. [s. 14(2)],Not Repeat|206,Critical,Hot potentially hazardous food stored/displayed below 60 ???C. [s. 14(2)],Not Repeat|304,Not Critical,Premises not free of pests [s. 26(a)],Not Repeat|308,Not Critical,Equipment/utensils/food contact surfaces are not in good working order [s. 16(b)],Not Repeat"
SHEN-9SGNQT,20191107,Follow-Up,0,0,Low,
SHEN-9SGNQT,20191028,Routine,0,1,Low,"502,Not Critical,In operator???s absence, no staff on duty has FOODSAFE Level 1 or equivalent [s. 10(2)],Not Repeat"
SHEN-9SGNQT,20190619,Follow-Up,0,0,Low,
SHEN-9SGNQT,20190614,Routine,0,1,Low,"212,Not Critical,Operator has not provided acceptable written food handling procedures [s. 23],Not Repeat"
SHEN-9SGNQT,20181121,Routine,1,1,Low,"306,Not Critical,Food premises not maintained in a sanitary condition [s. 17(1)],Not Repeat|401,Critical,Adequate handwashing stations not available for employees [s. 21(4)],Not Repeat"
SHEN-9SGNQT,20180730,Routine,1,2,Low,"205,Critical,Cold potentially hazardous food stored/displayed above 4 ???C. [s. 14(2)],Not Repeat|209,Not Critical,Food not protected from contamination [s. 12(a)],Not Repeat|306,Not Critical,Food premises not maintained in a sanitary condition [s. 17(1)],Not Repeat"
SHEN-9SGNQT,20180219,Routine,0,0,Low,
SHEN-9SGNQT,20171025,Follow-Up,0,0,Low,
SHEN-9SGNQT,20170828,Follow-Up,0,0,Low,
SHEN-9SGNQT,20170512,Follow-Up,0,0,Low,
SHEN-9SGNQT,20170509,Routine,2,0,Low,"206,Critical,Hot potentially hazardous food stored/displayed below 60 ???C. [s. 14(2)],Not Repeat|401,Critical,Adequate handwashing stations not available for employees [s. 21(4)],Not Repeat"
SHEN-9SGNQT,20170105,Routine,1,1,Low,"209,Not Critical,Food not protected from contamination [s. 12(a)],Not Repeat|303,Critical,Equipment/facilities/hot & cold water for sanitary maintenance not adequate [s. 17(3); s. 4(1)(f)],Not Repeat"
SDFO-8AULF9,20200420,Routine,1,0,Low,"301,Critical,Equipment/utensils/food contact surfaces not maintained in sanitary condition [s. 17(1)],Not Repeat"
SDFO-8AULF9,20200107,Follow-Up,0,1,Low,"304,Not Critical,Premises not free of pests [s. 26(a)],Not Repeat"
SDFO-8AULF9,20191105,Follow-Up,0,0,Low,
SDFO-8AULF9,20191007,Routine,0,2,Moderate,"304,Not Critical,Premises not free of pests [s. 26(a)],Not Repeat|306,Not Critical,Food premises not maintained in a sanitary condition [s. 17(1)],Not Repeat"
SDFO-8AULF9,20190524,Follow-Up,0,0,Low,
SDFO-8AULF9,20190423,Follow-Up,0,0,Low,
SDFO-8AULF9,20190405,Routine,1,3,Moderate,"302,Critical,Equipment/utensils/food contact surfaces not properly washed and sanitized [s. 17(2)],Not Repeat|304,Not Critical,Premises not free of pests [s. 26(a)],Not Repeat|306,Not Critical,Food premises not maintained in a sanitary condition [s. 17(1)],Not Repeat|308,Not Critical,Equipment/utensils/food contact surfaces are not in good working order [s. 16(b)],Not Repeat"
SDFO-8AULF9,20181001,Routine,0,0,Low,
SDFO-8AULF9,20180410,Follow-Up,0,0,Low,
SDFO-8AULF9,20180403,Routine,2,2,Moderate,"206,Critical,Hot potentially hazardous food stored/displayed below 60 ???C. [s. 14(2)],Not Repeat|304,Not Critical,Premises not free of pests [s. 26(a)],Not Repeat|308,Not Critical,Equipment/utensils/food contact surfaces are not in good working order [s. 16(b)],Not Repeat|401,Critical,Adequate handwashing stations not available for employees [s. 21(4)],Not Repeat"
SDFO-8AULF9,20171030,Follow-Up,0,0,Low,
SDFO-8AULF9,20171017,Routine,2,1,Moderate,"206,Critical,Hot potentially hazardous food stored/displayed below 60 ???C. [s. 14(2)],Not Repeat|302,Critical,Equipment/utensils/food contact surfaces not properly washed and sanitized [s. 17(2)],Not Repeat|308,Not Critical,Equipment/utensils/food contact surfaces are not in good working order [s. 16(b)],Not Repeat"
SDFO-8AULF9,20170420,Routine,1,1,Low,"206,Critical,Hot potentially hazardous food stored/displayed below 60 ???C. [s. 14(2)],Not Repeat|309,Not Critical,Chemicals, cleansers, & similar agents stored or labeled improperly [s. 27],Not Repeat"
SDFO-8AULF9,20161109,Routine,0,0,Low,
SDFO-8L8SZK,20191011,Routine,1,0,Low,"301,Critical,Equipment/utensils/food contact surfaces not maintained in sanitary condition [s. 17(1)],Not Repeat"
SDFO-8L8SZK,20190508,Routine,1,1,Low,"206,Critical,Hot potentially hazardous food stored/displayed below 60 ???C. [s. 14(2)],Not Repeat|212,Not Critical,Operator has not provided acceptable written food handling procedures [s. 23],Not Repeat"
SDFO-8L8SZK,20181210,Routine,0,0,Low,
SDFO-8L8SZK,20180730,Routine,1,1,Low,"211,Not Critical,Frozen potentially hazardous food stored/displayed above -18 ???C. [s. 14(3)],Not Repeat|302,Critical,Equipment/utensils/food contact surfaces not properly washed and sanitized [s. 17(2)],Not Repeat"
SDFO-8L8SZK,20180309,Routine,2,0,Moderate,"205,Critical,Cold potentially hazardous food stored/displayed above 4 ???C. [s. 14(2)],Not Repeat|302,Critical,Equipment/utensils/food contact surfaces not properly washed and sanitized [s. 17(2)],Not Repeat"
SDFO-8L8SZK,20170925,Routine,1,1,Low,"206,Critical,Hot potentially hazardous food stored/displayed below 60 ???C. [s. 14(2)],Not Repeat|209,Not Critical,Food not protected from contamination [s. 12(a)],Not Repeat"
SDFO-8L8SZK,20170228,Follow-Up,0,0,Low,
SDFO-8L8SZK,20170221,Routine,2,3,High,"104,Not Critical,Permit not posted in a conspicuous location [s. 8(7)],Not Repeat|211,Not Critical,Frozen potentially hazardous food stored/displayed above -18 ???C. [s. 14(3)],Not Repeat|302,Critical,Equipment/utensils/food contact surfaces not properly washed and sanitized [s. 17(2)],Not Repeat|308,Not Critical,Equipment/utensils/food contact surfaces are not in good working order [s. 16(b)],Not Repeat|401,Critical,Adequate handwashing stations not available for employees [s. 21(4)],Not Repeat"
SDFO-8L8SZK,20160921,Follow-Up,0,0,Low,
SDFO-8L8SZK,20160915,Follow-Up,0,0,Low,
SDFO-8L8SZK,20160908,Routine,3,1,High,"205,Critical,Cold potentially hazardous food stored/displayed above 4 ???C. [s. 14(2)],Not Repeat|302,Critical,Equipment/utensils/food contact surfaces not properly washed and sanitized [s. 17(2)],Not Repeat|308,Not Critical,Equipment/utensils/food contact surfaces are not in good working order [s. 16(b)],Not Repeat|401,Critical,Adequate handwashing stations not available for employees [s. 21(4)],Not Repeat"
ACAK-8XKMAF,20191126,Routine,0,0,Low,
ACAK-8XKMAF,20190614,Routine,0,2,Low,"104,Not Critical,Permit not posted in a conspicuous location [s. 8(7)],Not Repeat|306,Not Critical,Food premises not maintained in a sanitary condition [s. 17(1)],Not Repeat"
ACAK-8XKMAF,20181219,Follow-Up,0,0,Low,
ACAK-8XKMAF,20181107,Follow-Up,0,0,Low,
ACAK-8XKMAF,20181107,Follow-Up,0,0,Low,
ACAK-8XKMAF,20181107,Follow-Up,1,0,Moderate,"206,Critical,Hot potentially hazardous food stored/displayed below 60 ???C. [s. 14(2)],Not Repeat"
ACAK-8XKMAF,20181106,Routine,2,1,Low,"205,Critical,Cold potentially hazardous food stored/displayed above 4 ???C. [s. 14(2)],Not Repeat|206,Critical,Hot potentially hazardous food stored/displayed below 60 ???C. [s. 14(2)],Not Repeat|308,Not Critical,Equipment/utensils/food contact surfaces are not in good working order [s. 16(b)],Not Repeat"
ACAK-8XKMAF,20180608,Follow-Up,1,0,Low,"401,Critical,Adequate handwashing stations not available for employees [s. 21(4)],Not Repeat"
ACAK-8XKMAF,20180601,Routine,2,0,Low,"205,Critical,Cold potentially hazardous food stored/displayed above 4 ???C. [s. 14(2)],Not Repeat|206,Critical,Hot potentially hazardous food stored/displayed below 60 ???C. [s. 14(2)],Not Repeat"
ACAK-8XKMAF,20171218,Routine,0,0,Low,
ACAK-8XKMAF,20170713,Follow-Up,0,1,Low,"209,Not Critical,Food not protected from contamination [s. 12(a)],Not Repeat"
ACAK-8XKMAF,20170620,Follow-Up,2,1,Moderate,"205,Critical,Cold potentially hazardous food stored/displayed above 4 ???C. [s. 14(2)],Not Repeat|209,Not Critical,Food not protected from contamination [s. 12(a)],Not Repeat|401,Critical,Adequate handwashing stations not available for employees [s. 21(4)],Not Repeat"
ACAK-8XKMAF,20170607,Routine,3,1,Moderate,"205,Critical,Cold potentially hazardous food stored/displayed above 4 ???C. [s. 14(2)],Not Repeat|209,Not Critical,Food not protected from contamination [s. 12(a)],Not Repeat|301,Critical,Equipment/utensils/food contact surfaces not maintained in sanitary condition [s. 17(1)],Not Repeat|401,Critical,Adequate handwashing stations not available for employees [s. 21(4)],Not Repeat"
ACAK-8XKMAF,20161201,Follow-Up,0,0,Low,
ACAK-8XKMAF,20161124,Routine,2,0,Low,"205,Critical,Cold potentially hazardous food stored/displayed above 4 ???C. [s. 14(2)],Not Repeat|302,Critical,Equipment/utensils/food contact surfaces not properly washed and sanitized [s. 17(2)],Not Repeat"
NDAA-9L2T78,20191009,Routine,0,0,Low,
NDAA-9L2T78,20181206,Routine,0,0,Low,
NDAA-9L2T78,20180613,Routine,0,0,Low,
NDAA-9L2T78,20171020,Routine,0,0,Low,
NDAA-9L2T78,20170411,Follow-Up,0,0,Low,
NDAA-9L2T78,20170404,Routine,0,0,Low,
NDAA-9L2T78,20161004,Routine,0,0,Low,
NDAA-9L2T78,20160919,Follow-Up,0,0,Low,
HPAR-AE2S2K,20191212,Follow-Up,0,0,Low,
HPAR-AE2S2K,20191030,Routine,0,3,Low,"304,Not Critical,Premises not free of pests [s. 26(a)],Not Repeat|306,Not Critical,Food premises not maintained in a sanitary condition [s. 17(1)],Not Repeat|308,Not Critical,Equipment/utensils/food contact surfaces are not in good working order [s. 16(b)],Not Repeat"
HPAR-AE2S2K,20190415,Follow-Up,0,0,Low,
HPAR-AE2S2K,20190412,Routine,2,1,Low,"206,Critical,Hot potentially hazardous food stored/displayed below 60 ???C. [s. 14(2)],Not Repeat|302,Critical,Equipment/utensils/food contact surfaces not properly washed and sanitized [s. 17(2)],Not Repeat|308,Not Critical,Equipment/utensils/food contact surfaces are not in good working order [s. 16(b)],Not Repeat"
HPAR-AE2S2K,20180829,Routine,0,1,Low,"308,Not Critical,Equipment/utensils/food contact surfaces are not in good working order [s. 16(b)],Not Repeat"
HPAR-AE2S2K,20180709,Follow-Up,0,0,Low,
HPAR-AE2S2K,20180409,Routine,0,0,Low,
HPAR-AE2S2K,20171102,Follow-Up,0,0,Low,
HPAR-AE2S2K,20171017,Routine,0,0,Low,
HPAR-AE2S2K,20170809,Follow-Up,0,0,Low,
HPAR-AE2S2K,20170605,Routine,0,0,Low,
HPAR-AE2S2K,20161213,Routine,0,0,Low,
SPLH-ASNP2T,20190926,Routine,0,0,Low,
SPLH-ASNP2T,20190409,Routine,1,0,Low,"302,Critical,Equipment/utensils/food contact surfaces not properly washed and sanitized [s. 17(2)],Not Repeat"
SPLH-ASNP2T,20181213,Routine,0,1,Low,"209,Not Critical,Food not protected from contamination [s. 12(a)],Not Repeat"
SPLH-ASNP2T,20180406,Routine,0,0,Low,
SPLH-ASNP2T,20171127,Follow-Up,1,0,Low,"205,Critical,Cold potentially hazardous food stored/displayed above 4 ???C. [s. 14(2)],Not Repeat"
SPLH-ASNP2T,20171124,Routine,1,0,Low,"205,Critical,Cold potentially hazardous food stored/displayed above 4 ???C. [s. 14(2)],Not Repeat"
SHEN-A2CTME,20200115,Routine,0,0,Low,
SHEN-A2CTME,20190828,Follow-Up,0,0,Low,
SHEN-A2CTME,20190814,Routine,0,1,Low,"306,Not Critical,Food premises not maintained in a sanitary condition [s. 17(1)],Not Repeat"
SHEN-A2CTME,20181211,Follow-Up,0,0,Low,
SHEN-A2CTME,20181207,Routine,0,2,Low,"307,Not Critical,Equipment/utensils/food contact surfaces are not of suitable design/material [s. 16; s. 19],Not Repeat|501,Not Critical,Operator does not have FOODSAFE Level 1 or Equivalent [s. 10(1)],Not Repeat"
SHEN-A2CTME,20180515,Routine,1,3,Low,"205,Critical,Cold potentially hazardous food stored/displayed above 4 ???C. [s. 14(2)],Not Repeat|209,Not Critical,Food not protected from contamination [s. 12(a)],Not Repeat|307,Not Critical,Equipment/utensils/food contact surfaces are not of suitable design/material [s. 16; s. 19],Not Repeat|308,Not Critical,Equipment/utensils/food contact surfaces are not in good working order [s. 16(b)],Not Repeat"
SHEN-A2CTME,20171025,Routine,0,0,Low,
SHEN-A2CTME,20171003,Routine,1,0,Low,"302,Critical,Equipment/utensils/food contact surfaces not properly washed and sanitized [s. 17(2)],Not Repeat"
SHEN-A2CTME,20170316,Routine,0,0,Low,
SHEN-A2CTME,20161104,Routine,0,0,Low,
HPAR-AFGRCA,20191211,Routine,1,0,Low,"302,Critical,Equipment/utensils/food contact surfaces not properly washed and sanitized [s. 17(2)],Not Repeat"
HPAR-AFGRCA,20190711,Routine,1,1,Low,"209,Not Critical,Food not protected from contamination [s. 12(a)],Not Repeat|302,Critical,Equipment/utensils/food contact surfaces not properly washed and sanitized [s. 17(2)],Not Repeat"
HPAR-AFGRCA,20181022,Routine,0,0,Low,
HPAR-AFGRCA,20180514,Routine,0,0,Low,
HPAR-AFGRCA,20170927,Routine,0,1,Low,"308,Not Critical,Equipment/utensils/food contact surfaces are not in good working order [s. 16(b)],Not Repeat"
HPAR-AFGRCA,20170505,Routine,0,0,Low,
HPAR-AFGRCA,20160929,Follow-Up,0,0,Low,
HPAR-AFGRCA,20160929,Routine,1,1,Low,"308,Not Critical,Equipment/utensils/food contact surfaces are not in good working order [s. 16(b)],Not Repeat|401,Critical,Adequate handwashing stations not available for employees [s. 21(4)],Not Repeat"
HPAR-AFGPRP,20200116,Routine,1,0,Low,"302,Critical,Equipment/utensils/food contact surfaces not properly washed and sanitized [s. 17(2)],Not Repeat"
HPAR-AFGPRP,20190319,Routine,0,0,Low,
HPAR-AFGPRP,20181218,Routine,1,1,Low,"303,Critical,Equipment/facilities/hot & cold water for sanitary maintenance not adequate [s. 17(3); s. 4(1)(f)],Not Repeat|304,Not Critical,Premises not free of pests [s. 26(a)],Not Repeat"
HPAR-AFGPRP,20180312,Follow-Up,0,0,Low,
HPAR-AFGPRP,20180309,Routine,1,1,Low,"206,Critical,Hot potentially hazardous food stored/displayed below 60 ???C. [s. 14(2)],Not Repeat|502,Not Critical,In operator???s absence, no staff on duty has FOODSAFE Level 1 or equivalent [s. 10(2)],Not Repeat"
HPAR-AFGPRP,20161003,Routine,0,1,Low,"315,Not Critical,Refrigeration units and hot holding equipment lack accurate thermometers [s. 19(2)],Not Repeat"
NDAA-99WMTF,20200205,Routine,0,0,Low,
NDAA-99WMTF,20190815,Routine,0,0,Low,
NDAA-99WMTF,20190219,Routine,0,0,Low,
NDAA-99WMTF,20180912,Follow-Up,0,0,Low,
